Date,Open,High,Low,Close,Volume,Currency
2021-06-15,8705.0,8726.26,8683.11,8688.94,89156200,EUR
2021-06-16,8712.93,8712.93,8663.32,8686.82,99050496,EUR
2021-06-17,8645.97,8702.14,8645.97,8694.16,100908896,EUR
2021-06-18,8690.71,8701.17,8550.81,8562.08,210514096,EUR
2021-06-21,8520.15,8637.13,8487.72,8637.13,99292304,EUR
2021-06-22,8634.15,8661.46,8601.25,8653.07,87218000,EUR
2021-06-23,8671.89,8671.89,8556.48,8556.48,84220896,EUR
2021-06-24,8596.18,8648.38,8578.54,8637.6,86555296,EUR
2021-06-25,8629.13,8651.25,8615.41,8649.76,81118000,EUR
2021-06-28,8633.65,8677.21,8612.52,8612.95,77677800,EUR
2021-06-29,8613.69,8705.07,8613.69,8670.29,87452800,EUR
2021-06-30,8670.3,8680.44,8547.69,8593.0,103746800,EUR
2021-07-01,8639.24,8683.27,8574.0,8636.66,88171400,EUR
2021-07-02,8669.86,8692.55,8644.75,8671.54,74771904,EUR
2021-07-05,8666.31,8689.42,8617.61,8681.78,56451200,EUR
2021-07-06,8669.59,8684.36,8593.16,8615.64,92158600,EUR
2021-07-07,8652.4,8711.96,8652.4,8705.01,95895696,EUR
2021-07-08,8653.52,8656.56,8502.82,8564.11,130909504,EUR
2021-07-09,8591.76,8706.21,8588.04,8706.21,105446600,EUR
2021-07-12,8702.4,8767.13,8676.31,8758.55,87074896,EUR
2021-07-13,8755.37,8763.03,8731.86,8754.81,87587000,EUR
2021-07-14,8720.81,8759.02,8716.91,8746.35,72618800,EUR
2021-07-15,8709.88,8718.02,8642.66,8664.86,100709296,EUR
2021-07-16,8689.16,8697.96,8591.77,8624.17,97983696,EUR
2021-07-19,8572.19,8572.19,8364.52,8410.28,131546496,EUR
2021-07-20,8445.57,8494.49,8391.35,8453.08,93639400,EUR
2021-07-21,8497.64,8586.29,8462.93,8577.09,99720400,EUR
